subscription_id,customer_id,plan_id,status,billing_cycle,start_date,end_date,mrr_usd,discount_pct,trial_end_date,cancellation_reason
31,23,6,cancelled,annual,2025-05-04,2025-09-11,82.5,0,2025-05-18 00:00:00,Not using it
32,23,1,cancelled,monthly,2025-09-11,2025-11-10,0.0,0,,Not using it
33,23,3,active,annual,2025-11-10,,15.83,0,,
34,24,3,active,annual,2025-06-24,,15.83,0,2025-07-08 00:00:00,
35,25,1,active,monthly,2025-06-03,,0.0,25,,
36,26,4,cancelled,monthly,2023-07-17,2023-12-01,33.15,15,2023-07-31 00:00:00,Too expensive
37,26,6,active,monthly,2023-12-01,,99.0,0,,
38,27,1,cancelled,monthly,2023-09-29,2024-04-14,0.0,0,,Switched competitor
39,27,3,expired,monthly,2024-04-14,2024-09-22,19.0,0,,Not using it
40,27,4,cancelled,annual,2024-09-22,,32.5,0,,Switched competitor
41,28,3,cancelled,monthly,2023-03-13,2024-01-12,14.25,25,2023-03-27 00:00:00,
42,28,3,active,monthly,2024-01-12,,19.0,0,,
43,29,2,expired,annual,2024-03-06,2024-12-20,10.0,0,2024-03-20 00:00:00,Missing features
44,29,3,expired,monthly,2024-12-20,2025-06-05,19.0,0,,Company reorganization
45,29,5,active,annual,2025-06-05,,49.17,0,,
46,30,2,active,monthly,2024-04-21,,12.0,0,2024-05-05 00:00:00,
47,31,4,active,monthly,2023-08-19,,39.0,0,2023-09-02 00:00:00,
48,32,3,active,annual,2025-05-31,,15.83,0,2025-06-14 00:00:00,
49,33,5,active,monthly,2025-08-30,,59.0,0,2025-09-13 00:00:00,
50,34,3,cancelled,monthly,2024-06-17,2025-02-04,19.0,0,2024-07-01 00:00:00,Missing features
51,34,4,active,monthly,2025-02-04,,33.15,15,,
52,35,2,active,annual,2024-02-22,,10.0,0,2024-03-07 00:00:00,
53,36,5,active,monthly,2025-09-03,,59.0,0,2025-09-17 00:00:00,
54,37,3,cancelled,annual,2025-10-01,2025-12-01,15.83,0,2025-10-15 00:00:00,Switched competitor
55,37,4,active,monthly,2025-12-01,,39.0,0,,
56,38,2,expired,monthly,2025-06-19,2025-09-16,12.0,0,2025-07-03 00:00:00,Company reorganization
57,38,6,active,annual,2025-09-16,,82.5,0,,
58,39,1,active,monthly,2025-08-30,,0.0,0,,
59,40,2,active,annual,2025-02-04,,10.0,0,2025-02-18 00:00:00,
60,41,2,active,monthly,2025-04-30,,12.0,0,2025-05-14 00:00:00,
61,42,5,active,annual,2025-09-10,,49.17,0,2025-09-24 00:00:00,
62,43,5,cancelled,annual,2025-04-25,2025-07-29,49.17,0,2025-05-09 00:00:00,Company reorganization
63,43,4,expired,monthly,2025-07-29,2025-10-28,33.15,15,,Missing features
64,43,1,active,monthly,2025-10-28,,0.0,0,,
65,44,6,expired,annual,2025-03-27,2025-10-06,82.5,0,2025-04-10 00:00:00,Too expensive
66,44,1,active,monthly,2025-10-06,,0.0,25,,
67,45,1,active,monthly,2024-05-17,,0.0,0,,
68,46,1,active,annual,2024-12-20,,0.0,0,,
69,47,4,expired,annual,2024-06-21,2025-02-18,32.5,0,2024-07-05 00:00:00,Budget cuts
70,47,3,active,monthly,2025-02-18,,19.0,0,,
71,48,3,expired,monthly,2025-08-24,2025-10-28,19.0,0,2025-09-07 00:00:00,
72,48,2,cancelled,monthly,2025-10-28,2025-12-28,12.0,0,,Missing features
73,48,6,cancelled,annual,2025-12-28,,70.12,15,,Missing features
74,49,1,active,monthly,2024-10-06,,0.0,0,,
75,50,1,expired,monthly,2024-08-25,2024-11-07,0.0,0,,Not using it
76,50,2,expired,monthly,2024-11-07,2025-04-03,12.0,0,,Budget cuts
77,50,1,active,annual,2025-04-03,,0.0,0,,
78,51,3,active,annual,2024-12-06,,15.83,0,2024-12-20 00:00:00,
79,52,1,cancelled,annual,2024-10-25,,0.0,25,,Missing features
80,53,3,expired,annual,2024-05-20,2024-12-20,15.83,0,2024-06-03 00:00:00,
81,53,1,active,annual,2024-12-20,,0.0,0,,
82,54,1,active,monthly,2025-02-20,,0.0,0,,
83,55,2,cancelled,monthly,2023-12-04,2024-05-31,10.8,10,2023-12-18 00:00:00,Too expensive
84,55,4,active,monthly,2024-05-31,,31.2,20,,
85,56,2,expired,annual,2024-07-09,2025-03-08,10.0,0,2024-07-23 00:00:00,Switched competitor
86,56,5,active,monthly,2025-03-08,,59.0,0,,
87,57,4,active,annual,2024-10-07,,32.5,0,2024-10-21 00:00:00,
88,58,3,active,monthly,2025-09-30,,19.0,0,2025-10-14 00:00:00,
89,59,2,active,monthly,2023-01-03,,12.0,0,2023-01-17 00:00:00,
90,60,1,cancelled,annual,2023-09-02,2024-08-08,0.0,0,,Switched competitor
91,60,5,active,monthly,2024-08-08,,59.0,0,,
92,61,1,cancelled,monthly,2023-02-07,,0.0,0,,Switched competitor
93,62,3,cancelled,monthly,2024-12-10,2025-08-24,19.0,0,2024-12-24 00:00:00,Company reorganization
94,62,3,active,monthly,2025-08-24,,16.15,15,,
95,63,1,cancelled,annual,2025-02-03,2025-06-29,0.0,0,,
96,63,4,cancelled,monthly,2025-06-29,,39.0,0,,Switched competitor
97,64,2,active,annual,2024-06-27,,10.0,0,2024-07-11 00:00:00,
98,65,1,active,annual,2023-01-10,,0.0,15,,
99,66,1,active,monthly,2025-05-23,,0.0,0,,
100,67,1,active,monthly,2025-05-02,,0.0,0,,
101,68,6,cancelled,annual,2024-03-27,,82.5,0,2024-04-10 00:00:00,Budget cuts
102,69,1,active,annual,2023-10-30,,0.0,0,,
103,70,1,expired,monthly,2024-02-09,2024-12-20,0.0,0,,Switched competitor
104,70,4,cancelled,monthly,2024-12-20,,39.0,0,,Company reorganization
105,71,5,cancelled,monthly,2024-09-16,2025-08-02,59.0,0,2024-09-30 00:00:00,Budget cuts
106,71,7,active,monthly,2025-08-02,,199.0,0,,
107,72,1,expired,monthly,2025-08-30,2025-10-30,0.0,0,,
108,72,2,active,monthly,2025-10-30,,12.0,0,,
109,73,2,active,monthly,2024-01-15,,9.6,20,2024-01-29 00:00:00,
110,74,3,active,annual,2023-08-06,,15.83,0,2023-08-20 00:00:00,
111,75,1,cancelled,monthly,2024-09-02,,0.0,0,,Missing features
112,76,3,expired,annual,2023-03-07,2023-10-21,15.83,0,2023-03-21 00:00:00,Switched competitor
113,76,2,active,annual,2023-10-21,,10.0,0,,
114,77,4,cancelled,monthly,2025-05-17,2025-08-02,39.0,0,2025-05-31 00:00:00,Too expensive
115,77,4,active,monthly,2025-08-02,,39.0,0,,
116,78,5,active,monthly,2024-09-11,,59.0,0,2024-09-25 00:00:00,
117,79,4,cancelled,annual,2025-01-17,,32.5,0,2025-01-31 00:00:00,Company reorganization
118,80,5,active,monthly,2024-08-23,,59.0,0,2024-09-06 00:00:00,
119,81,4,expired,annual,2023-06-08,2023-12-15,27.62,15,2023-06-22 00:00:00,Budget cuts
120,81,5,active,monthly,2023-12-15,,47.2,20,,
121,82,4,active,monthly,2023-10-07,,39.0,0,2023-10-21 00:00:00,
122,83,1,active,monthly,2024-03-05,,0.0,0,,
123,84,1,active,monthly,2024-03-10,,0.0,0,,
124,85,1,active,monthly,2023-07-29,,0.0,0,,
125,86,4,active,monthly,2025-06-01,,35.1,10,2025-06-15 00:00:00,
126,87,4,cancelled,monthly,2024-09-24,2025-08-02,39.0,0,2024-10-08 00:00:00,Missing features
127,87,2,active,monthly,2025-08-02,,12.0,0,,
128,88,1,cancelled,annual,2025-03-08,,0.0,0,,Not using it
129,89,6,active,annual,2025-02-16,,61.88,25,2025-03-02 00:00:00,
130,90,3,active,monthly,2023-03-11,,19.0,0,2023-03-25 00:00:00,
131,91,4,expired,monthly,2025-09-27,2025-11-27,39.0,0,2025-10-11 00:00:00,Budget cuts
132,91,3,active,monthly,2025-11-27,,19.0,0,,
133,92,5,cancelled,annual,2023-06-04,2023-09-26,49.17,0,2023-06-18 00:00:00,Too expensive
134,92,1,active,annual,2023-09-26,,0.0,0,,
135,93,4,active,monthly,2024-01-17,,39.0,0,2024-01-31 00:00:00,
136,94,1,cancelled,monthly,2023-12-08,,0.0,0,,
137,95,4,expired,annual,2024-11-17,2025-06-29,32.5,0,2024-12-01 00:00:00,Company reorganization
138,95,3,cancelled,monthly,2025-06-29,2025-10-20,19.0,0,,Switched competitor
139,95,5,active,annual,2025-10-20,,49.17,0,,
140,96,2,expired,monthly,2023-05-21,2024-05-12,12.0,0,2023-06-04 00:00:00,Too expensive
141,96,6,cancelled,monthly,2024-05-12,,99.0,0,,Switched competitor
142,97,2,active,monthly,2023-06-19,,10.8,10,2023-07-03 00:00:00,
143,98,2,expired,annual,2025-08-27,2025-10-30,10.0,0,2025-09-10 00:00:00,Company reorganization
144,98,3,active,annual,2025-10-30,,15.83,0,,
145,99,1,expired,monthly,2024-07-21,2025-03-17,0.0,0,,Budget cuts
146,99,3,active,monthly,2025-03-17,,19.0,0,,
147,100,2,active,monthly,2025-06-24,,12.0,0,2025-07-08 00:00:00,
148,101,1,active,annual,2023-10-21,,0.0,0,,
149,102,2,cancelled,annual,2023-05-05,,10.0,0,2023-05-19 00:00:00,Too expensive
150,103,2,active,monthly,2023-01-02,,10.8,10,2023-01-16 00:00:00,
151,104,2,expired,monthly,2023-09-17,2024-06-28,10.8,10,2023-10-01 00:00:00,Budget cuts
152,104,4,active,monthly,2024-06-28,,39.0,0,,
153,105,1,cancelled,annual,2023-06-29,2024-04-02,0.0,0,,Budget cuts
154,105,5,cancelled,monthly,2024-04-02,2025-02-10,59.0,0,,Switched competitor
155,105,3,active,monthly,2025-02-10,,19.0,0,,
156,106,2,expired,annual,2023-11-14,2024-08-30,10.0,0,2023-11-28 00:00:00,Missing features
157,106,3,expired,monthly,2024-08-30,2024-11-30,19.0,0,,Not using it
158,106,1,active,annual,2024-11-30,,0.0,0,,
159,107,1,cancelled,annual,2024-01-12,2024-08-20,0.0,0,,Too expensive
160,107,3,active,monthly,2024-08-20,,19.0,0,,
161,108,2,cancelled,monthly,2025-04-22,,12.0,0,2025-05-06 00:00:00,Missing features
162,109,3,active,annual,2024-03-21,,15.83,0,2024-04-04 00:00:00,
163,110,2,cancelled,annual,2024-03-24,,10.0,0,2024-04-07 00:00:00,Not using it
164,111,5,active,annual,2024-06-26,,49.17,0,2024-07-10 00:00:00,
165,112,6,active,monthly,2025-07-27,,99.0,0,2025-08-10 00:00:00,
166,113,2,cancelled,monthly,2024-12-29,2025-04-09,12.0,0,2025-01-12 00:00:00,Budget cuts
167,113,4,active,monthly,2025-04-09,,39.0,0,,
168,114,6,cancelled,monthly,2025-06-24,,99.0,0,2025-07-08 00:00:00,Not using it
169,115,3,cancelled,monthly,2025-06-18,2025-10-24,19.0,0,2025-07-02 00:00:00,Not using it
170,115,4,cancelled,monthly,2025-10-24,2025-12-23,39.0,0,,Missing features
171,115,3,active,annual,2025-12-23,,15.83,0,,
172,116,1,expired,monthly,2025-08-21,2025-10-22,0.0,0,,Not using it
173,116,2,expired,monthly,2025-10-22,2025-12-21,12.0,0,,Budget cuts
174,116,3,active,annual,2025-12-21,,15.83,0,,
175,117,3,expired,monthly,2024-10-01,2024-12-17,19.0,0,2024-10-15 00:00:00,Too expensive
176,117,1,active,monthly,2024-12-17,,0.0,0,,
177,118,2,active,monthly,2024-10-04,,12.0,0,2024-10-18 00:00:00,
178,119,2,cancelled,monthly,2023-07-28,2024-05-03,9.6,20,2023-08-11 00:00:00,Too expensive
179,119,4,active,monthly,2024-05-03,,39.0,0,,
180,120,1,cancelled,monthly,2023-09-11,,0.0,0,,Not using it
181,121,5,active,annual,2024-02-07,,49.17,0,2024-02-21 00:00:00,
182,122,1,cancelled,monthly,2023-09-28,2024-02-20,0.0,0,,Too expensive
183,122,2,active,annual,2024-02-20,,10.0,0,,
184,123,2,active,annual,2024-09-30,,10.0,0,2024-10-14 00:00:00,
185,124,4,active,monthly,2024-12-31,,39.0,0,2025-01-14 00:00:00,
186,125,3,cancelled,annual,2024-12-26,2025-04-29,13.46,15,2025-01-09 00:00:00,Switched competitor
187,125,4,active,annual,2025-04-29,,29.25,10,,
188,126,4,expired,monthly,2025-03-12,2025-10-29,39.0,0,2025-03-26 00:00:00,Budget cuts
189,126,6,active,monthly,2025-10-29,,99.0,0,,
190,127,4,cancelled,monthly,2024-03-27,2024-07-22,39.0,0,2024-04-10 00:00:00,Not using it
191,127,5,active,annual,2024-07-22,,49.17,0,,
192,128,2,active,annual,2024-11-09,,8.5,15,2024-11-23 00:00:00,
193,129,4,active,annual,2023-09-10,,32.5,0,2023-09-24 00:00:00,
194,130,3,expired,monthly,2024-08-10,2025-02-18,19.0,0,2024-08-24 00:00:00,Missing features
195,130,3,active,monthly,2025-02-18,,19.0,0,,
196,131,4,expired,annual,2024-07-29,2025-07-29,32.5,0,2024-08-12 00:00:00,Budget cuts
197,131,6,active,annual,2025-07-29,,82.5,0,,
198,132,2,cancelled,monthly,2025-02-28,,12.0,0,2025-03-14 00:00:00,Not using it
199,133,2,active,monthly,2023-06-29,,9.6,20,2023-07-13 00:00:00,
200,134,4,active,monthly,2024-10-18,,39.0,0,2024-11-01 00:00:00,
201,135,1,active,monthly,2024-08-04,,0.0,25,,
202,136,2,active,monthly,2025-01-10,,12.0,0,2025-01-24 00:00:00,
203,137,4,active,monthly,2023-08-15,,39.0,0,2023-08-29 00:00:00,
204,138,1,expired,monthly,2023-03-25,2023-06-18,0.0,0,,Not using it
205,138,3,active,monthly,2023-06-18,,19.0,0,,
206,139,1,cancelled,monthly,2025-01-04,2025-04-13,0.0,0,,
207,139,5,cancelled,annual,2025-04-13,2025-07-22,49.17,0,,Company reorganization
208,139,5,active,annual,2025-07-22,,44.25,10,,
209,140,2,expired,annual,2025-04-16,2025-08-16,10.0,0,2025-04-30 00:00:00,Company reorganization
210,140,4,cancelled,monthly,2025-08-16,,39.0,0,,Budget cuts
211,141,5,active,monthly,2025-07-01,,59.0,0,2025-07-15 00:00:00,
212,142,5,cancelled,monthly,2023-05-11,2023-08-27,59.0,0,2023-05-25 00:00:00,Too expensive
213,142,2,expired,monthly,2023-08-27,2024-05-16,12.0,0,,Not using it
214,142,5,active,annual,2024-05-16,,49.17,0,,
215,143,2,cancelled,annual,2024-11-07,2025-10-15,9.0,10,2024-11-21 00:00:00,Too expensive
216,143,2,active,monthly,2025-10-15,,10.8,10,,
217,144,6,active,annual,2023-08-11,,82.5,0,2023-08-25 00:00:00,
218,145,4,active,monthly,2024-06-17,,39.0,0,2024-07-01 00:00:00,
219,146,4,active,monthly,2023-11-04,,39.0,0,2023-11-18 00:00:00,
220,147,3,expired,annual,2023-09-06,2024-02-09,15.83,0,2023-09-20 00:00:00,Too expensive
221,147,2,active,annual,2024-02-09,,10.0,0,,
222,148,1,cancelled,monthly,2025-02-18,2025-07-14,0.0,0,,Too expensive
223,148,5,active,monthly,2025-07-14,,53.1,10,,
224,149,1,active,annual,2024-12-13,,0.0,0,,
225,150,3,active,monthly,2023-11-24,,14.25,25,2023-12-08 00:00:00,
226,151,1,cancelled,annual,2024-05-26,2024-12-11,0.0,0,,Budget cuts
227,151,2,active,monthly,2024-12-11,,12.0,0,,
228,152,2,active,monthly,2024-07-13,,10.8,10,2024-07-27 00:00:00,
229,153,2,cancelled,annual,2023-06-04,,9.0,10,2023-06-18 00:00:00,Company reorganization
230,154,2,active,annual,2024-12-15,,10.0,0,2024-12-29 00:00:00,
231,155,1,active,annual,2025-09-09,,0.0,0,,
232,156,1,cancelled,monthly,2024-10-14,,0.0,0,,Missing features
233,157,1,active,annual,2024-12-01,,0.0,0,,
234,158,2,cancelled,annual,2025-05-04,2025-10-27,10.0,0,2025-05-18 00:00:00,Company reorganization
235,158,3,active,annual,2025-10-27,,12.67,20,,
236,159,3,expired,annual,2024-02-11,2024-08-16,15.83,0,2024-02-25 00:00:00,Missing features
237,159,6,active,monthly,2024-08-16,,89.1,10,,
238,160,1,paused,monthly,2023-09-10,,0.0,0,,
239,161,2,active,annual,2024-03-17,,7.5,25,2024-03-31 00:00:00,
240,162,5,expired,annual,2024-07-26,2025-07-08,49.17,0,2024-08-09 00:00:00,Company reorganization
241,162,2,active,annual,2025-07-08,,10.0,0,,
242,163,1,active,monthly,2024-01-05,,0.0,0,,
243,164,5,active,annual,2025-05-30,,36.88,25,2025-06-13 00:00:00,
244,165,1,active,monthly,2025-04-16,,0.0,0,,
245,166,1,active,monthly,2025-03-25,,0.0,0,,
246,167,1,active,monthly,2025-08-03,,0.0,0,,
247,168,5,cancelled,annual,2024-09-19,,44.25,10,2024-10-03 00:00:00,
248,169,1,active,annual,2025-03-01,,0.0,0,,
249,170,1,active,monthly,2025-03-14,,0.0,0,,
250,171,2,active,annual,2023-06-18,,10.0,0,2023-07-02 00:00:00,
251,172,1,active,annual,2025-01-25,,0.0,0,,
252,173,1,cancelled,annual,2024-04-13,,0.0,0,,Not using it
253,174,5,cancelled,monthly,2024-08-27,,59.0,0,2024-09-10 00:00:00,
254,175,1,cancelled,monthly,2024-05-16,2024-07-31,0.0,0,,Missing features
255,175,1,active,annual,2024-07-31,,0.0,0,,
256,176,6,active,monthly,2023-03-26,,74.25,25,2023-04-09 00:00:00,
257,177,2,cancelled,annual,2023-04-27,2024-02-21,10.0,0,2023-05-11 00:00:00,Company reorganization
258,177,3,active,monthly,2024-02-21,,19.0,0,,
259,178,1,active,annual,2023-12-23,,0.0,0,,
260,179,4,cancelled,annual,2025-04-04,,32.5,0,2025-04-18 00:00:00,
261,180,4,expired,annual,2023-05-10,2023-08-09,27.62,15,2023-05-24 00:00:00,Not using it
262,180,6,active,monthly,2023-08-09,,99.0,0,,
263,181,5,expired,monthly,2025-03-24,2025-07-17,59.0,0,2025-04-07 00:00:00,Budget cuts
264,181,5,active,monthly,2025-07-17,,59.0,0,,
265,182,3,active,monthly,2024-12-15,,19.0,0,2024-12-29 00:00:00,
266,183,3,active,annual,2025-07-04,,14.25,10,2025-07-18 00:00:00,
267,184,1,cancelled,monthly,2023-11-06,2024-02-24,0.0,0,,Too expensive
268,184,5,cancelled,annual,2024-02-24,,49.17,0,,
269,185,1,cancelled,monthly,2024-12-21,,0.0,0,,Not using it
270,186,2,cancelled,monthly,2023-04-15,,12.0,0,2023-04-29 00:00:00,Not using it
271,187,1,expired,monthly,2024-09-22,2025-03-08,0.0,0,,Not using it
272,187,3,active,monthly,2025-03-08,,19.0,0,,
273,188,2,active,monthly,2023-09-12,,12.0,0,2023-09-26 00:00:00,
274,189,2,active,annual,2025-03-23,,10.0,0,2025-04-06 00:00:00,
275,190,2,active,annual,2025-09-04,,10.0,0,2025-09-18 00:00:00,
276,191,4,cancelled,annual,2024-07-03,2025-01-02,26.0,20,2024-07-17 00:00:00,Too expensive
277,191,7,cancelled,monthly,2025-01-02,2025-07-01,149.25,25,,Not using it
278,191,2,active,monthly,2025-07-01,,10.2,15,,
279,192,2,active,monthly,2024-03-23,,12.0,0,2024-04-06 00:00:00,
280,193,1,cancelled,monthly,2024-12-25,,0.0,0,,
281,194,2,active,monthly,2024-08-13,,12.0,0,2024-08-27 00:00:00,
282,195,1,expired,monthly,2025-06-02,2025-09-10,0.0,0,,Too expensive
283,195,3,expired,annual,2025-09-10,2025-11-09,15.83,0,,Switched competitor
284,195,6,cancelled,monthly,2025-11-09,,99.0,0,,Missing features
285,196,2,cancelled,annual,2023-03-21,2024-03-07,10.0,0,2023-04-04 00:00:00,Company reorganization
286,196,4,active,monthly,2024-03-07,,39.0,0,,
287,197,5,active,annual,2023-01-09,,49.17,0,2023-01-23 00:00:00,
288,198,1,expired,monthly,2023-01-25,2023-04-14,0.0,0,,Switched competitor
289,198,5,expired,annual,2023-04-14,2024-01-07,49.17,0,,Missing features
290,198,3,active,annual,2024-01-07,,15.83,0,,
291,199,1,cancelled,monthly,2025-09-11,,0.0,0,,
292,200,5,active,annual,2024-03-21,,49.17,0,2024-04-04 00:00:00,
293,201,2,cancelled,monthly,2023-04-19,2024-01-26,12.0,0,2023-05-03 00:00:00,Company reorganization
294,201,5,cancelled,annual,2024-01-26,,41.79,15,,Switched competitor
295,202,2,expired,annual,2025-05-05,2025-10-31,10.0,0,2025-05-19 00:00:00,Budget cuts
296,202,6,active,monthly,2025-10-31,,99.0,0,,
297,203,2,active,annual,2025-04-03,,10.0,0,2025-04-17 00:00:00,
298,204,5,expired,monthly,2023-03-08,2024-01-17,44.25,25,2023-03-22 00:00:00,Missing features
299,204,1,cancelled,annual,2024-01-17,,0.0,0,,Company reorganization
300,205,5,active,annual,2023-06-26,,49.17,0,2023-07-10 00:00:00,
301,206,1,expired,annual,2023-03-31,2023-07-26,0.0,0,,Not using it
302,206,6,active,monthly,2023-07-26,,74.25,25,,
303,207,1,active,monthly,2024-02-02,,0.0,0,,
304,208,2,active,annual,2025-03-21,,10.0,0,2025-04-04 00:00:00,
305,209,2,expired,monthly,2023-01-29,2023-11-30,12.0,0,2023-02-12 00:00:00,Company reorganization
306,209,6,active,annual,2023-11-30,,82.5,0,,
307,210,2,expired,annual,2024-09-20,2025-01-13,10.0,0,2024-10-04 00:00:00,Missing features
308,210,5,active,monthly,2025-01-13,,59.0,0,,
309,211,2,active,monthly,2023-12-11,,12.0,0,2023-12-25 00:00:00,
310,212,1,active,annual,2024-01-23,,0.0,0,,
311,213,2,cancelled,monthly,2024-08-02,,9.0,25,2024-08-16 00:00:00,Switched competitor
312,214,5,cancelled,monthly,2023-09-13,2024-01-27,59.0,0,2023-09-27 00:00:00,Switched competitor
313,214,6,active,monthly,2024-01-27,,99.0,0,,
314,215,3,active,annual,2024-12-04,,15.83,0,2024-12-18 00:00:00,
315,216,3,cancelled,annual,2024-09-20,2025-09-10,15.83,0,2024-10-04 00:00:00,
316,216,5,cancelled,monthly,2025-09-10,2025-11-10,59.0,0,,Not using it
317,216,3,active,monthly,2025-11-10,,19.0,0,,
318,217,1,expired,monthly,2025-01-17,2025-08-23,0.0,0,,Not using it
319,217,1,active,annual,2025-08-23,,0.0,0,,
320,218,2,cancelled,monthly,2023-04-10,,10.8,10,2023-04-24 00:00:00,Budget cuts
321,219,5,cancelled,monthly,2024-04-01,,59.0,0,2024-04-15 00:00:00,Switched competitor
322,220,4,cancelled,monthly,2024-03-04,2024-12-09,33.15,15,2024-03-18 00:00:00,Missing features
323,220,6,active,annual,2024-12-09,,82.5,0,,
324,221,5,cancelled,monthly,2024-09-27,,59.0,0,2024-10-11 00:00:00,
325,222,2,cancelled,annual,2025-07-25,2025-10-16,10.0,0,2025-08-08 00:00:00,
326,222,7,active,monthly,2025-10-16,,179.1,10,,
327,223,3,active,annual,2024-08-03,,15.83,0,2024-08-17 00:00:00,
328,224,1,cancelled,annual,2023-02-08,,0.0,15,,Budget cuts
329,225,3,active,monthly,2025-04-17,,19.0,0,2025-05-01 00:00:00,
330,226,1,active,annual,2025-07-24,,0.0,0,,
331,227,5,expired,monthly,2023-07-17,2023-11-22,59.0,0,2023-07-31 00:00:00,Company reorganization
332,227,2,active,monthly,2023-11-22,,10.8,10,,
333,228,5,active,monthly,2023-09-05,,59.0,0,2023-09-19 00:00:00,
334,229,6,cancelled,annual,2025-05-24,2025-10-10,61.88,25,2025-06-07 00:00:00,Company reorganization
335,229,5,active,annual,2025-10-10,,49.17,0,,
336,230,3,active,monthly,2023-05-16,,19.0,0,2023-05-30 00:00:00,
337,231,3,active,monthly,2023-08-12,,19.0,0,2023-08-26 00:00:00,
338,232,4,active,annual,2023-10-11,,32.5,0,2023-10-25 00:00:00,
339,233,2,active,monthly,2023-10-30,,12.0,0,2023-11-13 00:00:00,
340,234,5,cancelled,monthly,2024-11-18,2025-06-15,53.1,10,2024-12-02 00:00:00,Not using it
341,234,4,active,monthly,2025-06-15,,39.0,0,,
342,235,1,active,annual,2023-08-16,,0.0,0,,
343,236,3,expired,annual,2024-09-27,2025-02-04,15.83,0,2024-10-11 00:00:00,Missing features
344,236,4,cancelled,annual,2025-02-04,,29.25,10,,Not using it
345,237,1,expired,monthly,2025-06-02,2025-10-16,0.0,0,,Company reorganization
346,237,5,cancelled,annual,2025-10-16,2025-12-16,49.17,0,,Not using it
347,237,3,active,monthly,2025-12-16,,15.2,20,,
348,238,4,expired,monthly,2023-06-12,2023-12-25,39.0,0,2023-06-26 00:00:00,Budget cuts
349,238,4,active,monthly,2023-12-25,,35.1,10,,
350,239,4,cancelled,annual,2025-07-02,2025-09-20,32.5,0,2025-07-16 00:00:00,Not using it
351,239,5,cancelled,annual,2025-09-20,2025-11-20,49.17,0,,Not using it
352,239,5,active,monthly,2025-11-20,,59.0,0,,
353,240,1,cancelled,monthly,2025-04-23,2025-10-18,0.0,0,,Missing features
354,240,4,cancelled,monthly,2025-10-18,,39.0,0,,Budget cuts
355,241,2,cancelled,monthly,2023-08-18,2024-08-15,12.0,0,2023-09-01 00:00:00,
356,241,3,active,annual,2024-08-15,,15.83,0,,
357,242,3,cancelled,annual,2024-11-08,2025-10-05,15.83,0,2024-11-22 00:00:00,
358,242,4,cancelled,monthly,2025-10-05,,39.0,0,,Not using it
359,243,1,active,monthly,2023-10-04,,0.0,0,,
360,244,2,cancelled,monthly,2023-10-30,2024-09-07,12.0,0,2023-11-13 00:00:00,Missing features
361,244,3,cancelled,monthly,2024-09-07,,19.0,0,,
362,245,2,cancelled,monthly,2025-01-10,,12.0,0,2025-01-24 00:00:00,Switched competitor
363,246,2,cancelled,monthly,2025-06-30,,12.0,0,2025-07-14 00:00:00,Too expensive
364,247,1,expired,monthly,2024-04-12,2025-03-05,0.0,0,,Too expensive
