customer_id,member_id,survey_date,nps_score,category,feedback,survey_channel,response_time_hours
115,6163,,0,detractor,Way too expensive for what it offers.,sms,
566,1197,,6,detractor,Way too expensive for what it offers.,,
1117,2239,,9,promoter,"Onboarding was smooth, team was productive within a day.",sms,14.5
708,6715,,9,promoter,"Onboarding was smooth, team was productive within a day.",,
150,131,,7,passive,Works fine but the mobile app needs improvement.,sms,66.9
318,2541,,7,passive,,,1.0
192,2422,,8,passive,"OK for basic project management, nothing special.",in_app,
241,5346,,9,promoter,The API is well-documented and easy to integrate with.,in_app,8.3
554,339,,3,detractor,Support takes forever to respond to tickets.,in_app,
861,1861,,7,passive,Gets the job done but competitor X has better reporting.,sms,
288,5652,,7,passive,"OK for basic project management, nothing special.",,4.0
147,3004,,7,passive,"Decent, but the pricing is a bit high for what you get.",,
1029,7203,,8,passive,Solid tool but UI could be more intuitive.,,
359,1092,,9,promoter,"Great product, easy to use. Team adopted it quickly.",sms,48.3
854,4623,,5,detractor,"Too slow, especially with large projects.",email,
121,1205,,7,passive,Works fine but the mobile app needs improvement.,,69.2
517,3744,,8,passive,Would be better with better export options.,,
673,4436,,6,detractor,Admin settings are a nightmare to configure.,sms,17.4
133,1350,,10,promoter,Best project management tool we've used. Highly recommend.,,
215,2684,,5,detractor,Lost data after an update. Very disappointed.,email,52.4
939,4974,,9,promoter,Support team is incredibly responsive and helpful.,,
263,3951,,5,detractor,The interface is confusing and hard to navigate.,,
1019,8268,,8,passive,,sms,47.7
738,6008,,10,promoter,"Onboarding was smooth, team was productive within a day.",,39.8
348,8053,,9,promoter,"Great product, easy to use. Team adopted it quickly.",sms,33.0
84,8465,,8,passive,Solid tool but UI could be more intuitive.,email,
420,7388,,0,detractor,Integration with our tools doesn't work properly.,sms,
1139,2414,,8,passive,"Some features feel half-baked, like time tracking.",email,
477,8129,,7,passive,Good product but could use more integrations.,sms,
408,6536,,7,passive,"Some features feel half-baked, like time tracking.",sms,68.8
413,7192,,6,detractor,Admin settings are a nightmare to configure.,,
909,904,,8,passive,,,
1015,1928,,5,detractor,Mobile app crashes constantly on Android.,in_app,
339,2648,,8,passive,Gets the job done but competitor X has better reporting.,,
668,3689,,4,detractor,Support takes forever to respond to tickets.,in_app,12.9
277,4367,,10,promoter,"Great product, easy to use. Team adopted it quickly.",,
449,4455,,8,passive,Gets the job done but competitor X has better reporting.,,
886,7068,,7,passive,Solid tool but UI could be more intuitive.,,65.3
691,7736,,7,passive,Works fine but the mobile app needs improvement.,sms,52.1
601,4181,,6,detractor,Way too expensive for what it offers.,,
1146,5384,,8,passive,Works fine but the mobile app needs improvement.,,
686,586,,10,promoter,"Mobile app works great, can manage tasks on the go.",,36.7
1183,5690,,8,passive,"Decent, but the pricing is a bit high for what you get.",,
20,7456,,6,detractor,The interface is confusing and hard to navigate.,sms,
544,847,,9,promoter,Support team is incredibly responsive and helpful.,in_app,55.5
750,361,,9,promoter,Love the AI task suggestions! Saves us hours every week.,in_app,
1180,6093,,9,promoter,Best project management tool we've used. Highly recommend.,,
341,6185,,7,passive,Gets the job done but competitor X has better reporting.,,64.3
343,1140,,10,promoter,Best project management tool we've used. Highly recommend.,,29.3
625,3990,,0,detractor,Support takes forever to respond to tickets.,sms,6.9
257,3279,,10,promoter,The Gantt charts are exactly what we needed.,,
198,406,,7,passive,Solid tool but UI could be more intuitive.,email,
724,4691,,6,detractor,Bugs everywhere. Feels like we're beta testing.,,5.2
841,4434,,4,detractor,Admin settings are a nightmare to configure.,,0.2
1126,4682,,10,promoter,The Gantt charts are exactly what we needed.,sms,
473,8448,,7,passive,"OK for basic project management, nothing special.",sms,
32,6729,,3,detractor,"Too slow, especially with large projects.",,
250,8134,,10,promoter,Reporting features give us exactly the insights we need.,,11.3
280,4426,,8,passive,"OK for basic project management, nothing special.",in_app,
1091,2892,,8,passive,"OK for basic project management, nothing special.",,
1184,184,,6,detractor,Mobile app crashes constantly on Android.,in_app,60.7
758,6797,,9,promoter,Custom workflows are a game changer for our process.,email,
112,3232,,8,passive,Works fine but the mobile app needs improvement.,in_app,
937,1934,,0,detractor,Lost data after an update. Very disappointed.,,22.4
999,3762,,6,detractor,Integration with our tools doesn't work properly.,,25.5
823,8142,,9,promoter,The Gantt charts are exactly what we needed.,email,43.2
277,5235,,10,promoter,Support team is incredibly responsive and helpful.,,
1035,2558,,4,detractor,Integration with our tools doesn't work properly.,,
1194,3684,,6,detractor,Switched from competitor and regret it honestly.,in_app,47.7
318,6356,,9,promoter,Custom workflows are a game changer for our process.,email,16.9
597,904,,6,detractor,Admin settings are a nightmare to configure.,email,
542,7420,,7,passive,"OK for basic project management, nothing special.",sms,36.3
1204,3649,,5,detractor,Admin settings are a nightmare to configure.,,
190,5262,,0,detractor,Way too expensive for what it offers.,,
226,4653,,8,passive,Gets the job done but competitor X has better reporting.,,
561,5080,,8,passive,"OK for basic project management, nothing special.",,
313,8394,,8,passive,"OK for basic project management, nothing special.",email,
1071,3065,,7,passive,Would be better with better export options.,sms,
146,7480,,7,passive,Good product but could use more integrations.,,
206,5233,,8,passive,"Some features feel half-baked, like time tracking.",,18.1
810,999,,10,promoter,Reporting features give us exactly the insights we need.,sms,
857,822,,8,passive,Solid tool but UI could be more intuitive.,in_app,
22,5994,,7,passive,"OK for basic project management, nothing special.",email,
1104,4945,,0,detractor,Support takes forever to respond to tickets.,sms,12.5
252,1726,,8,passive,Works fine but the mobile app needs improvement.,,
1079,3081,,3,detractor,Switched from competitor and regret it honestly.,sms,
35,7926,,6,detractor,Support takes forever to respond to tickets.,sms,0.3
320,6459,,8,passive,,sms,
274,1027,,8,passive,"OK for basic project management, nothing special.",email,
688,3287,,7,passive,Solid tool but UI could be more intuitive.,,
773,8325,,8,passive,Would be better with better export options.,email,
279,4482,,6,detractor,Support takes forever to respond to tickets.,sms,
894,7073,,8,passive,"Some features feel half-baked, like time tracking.",,
397,805,,2,detractor,Mobile app crashes constantly on Android.,,
305,588,,10,promoter,Best project management tool we've used. Highly recommend.,,
1203,7173,,9,promoter,Love the AI task suggestions! Saves us hours every week.,sms,
11,7361,,9,promoter,"Mobile app works great, can manage tasks on the go.",sms,
661,8478,,8,passive,Good product but could use more integrations.,,
905,1290,,3,detractor,Admin settings are a nightmare to configure.,sms,
319,5348,,6,detractor,"Too slow, especially with large projects.",sms,21.0
381,4505,,8,passive,"Some features feel half-baked, like time tracking.",in_app,
1099,5733,,5,detractor,Integration with our tools doesn't work properly.,in_app,
1068,3861,,7,passive,,,39.9
159,1934,,7,passive,Would be better with better export options.,in_app,69.5
172,5535,,8,passive,Good product but could use more integrations.,sms,
833,4749,,6,detractor,Integration with our tools doesn't work properly.,,
303,219,,9,promoter,"Great product, easy to use. Team adopted it quickly.",,23.3
340,3562,,9,promoter,"Great product, easy to use. Team adopted it quickly.",,
332,6772,,3,detractor,Lost data after an update. Very disappointed.,,
696,7340,,2,detractor,The interface is confusing and hard to navigate.,,
693,4769,,7,passive,,,
279,122,,10,promoter,"Onboarding was smooth, team was productive within a day.",,70.8
534,5193,,4,detractor,Admin settings are a nightmare to configure.,email,
33,4853,,8,passive,Good product but could use more integrations.,in_app,
201,4087,,8,passive,Would be better with better export options.,email,
186,1369,,4,detractor,Admin settings are a nightmare to configure.,,
1078,2744,,6,detractor,Bugs everywhere. Feels like we're beta testing.,,
515,5483,,2,detractor,Switched from competitor and regret it honestly.,,
931,5361,,9,promoter,Best project management tool we've used. Highly recommend.,sms,
763,3272,,10,promoter,"Onboarding was smooth, team was productive within a day.",in_app,
656,5773,,8,passive,,,
204,7647,,4,detractor,"Too slow, especially with large projects.",,
93,2399,,1,detractor,Bugs everywhere. Feels like we're beta testing.,email,
274,7547,,9,promoter,"Onboarding was smooth, team was productive within a day.",in_app,45.7
210,5870,,6,detractor,Admin settings are a nightmare to configure.,email,
281,310,,8,passive,"OK for basic project management, nothing special.",,44.6
1190,6465,,10,promoter,Best project management tool we've used. Highly recommend.,email,
505,2717,,10,promoter,Best project management tool we've used. Highly recommend.,in_app,53.1
312,3107,,3,detractor,Admin settings are a nightmare to configure.,,
1180,7435,,10,promoter,Reporting features give us exactly the insights we need.,,
805,4706,,9,promoter,The API is well-documented and easy to integrate with.,email,
921,591,,10,promoter,The API is well-documented and easy to integrate with.,,
1174,7065,,3,detractor,Way too expensive for what it offers.,,
1035,2407,,5,detractor,"Too slow, especially with large projects.",in_app,56.7
1138,6994,,7,passive,Gets the job done but competitor X has better reporting.,,
153,2373,,8,passive,"OK for basic project management, nothing special.",in_app,
359,6719,,8,passive,Would be better with better export options.,sms,
348,6952,,8,passive,Gets the job done but competitor X has better reporting.,sms,52.1
1076,4547,,7,passive,"OK for basic project management, nothing special.",sms,41.4
1081,5647,,6,detractor,Support takes forever to respond to tickets.,,56.6
16,6316,,7,passive,Good product but could use more integrations.,in_app,
37,833,,2,detractor,Lost data after an update. Very disappointed.,,55.6
403,2506,,7,passive,,email,
559,7897,,0,detractor,Way too expensive for what it offers.,,
665,1605,,7,passive,Works fine but the mobile app needs improvement.,email,
731,7158,,10,promoter,The Gantt charts are exactly what we needed.,,
973,2570,,2,detractor,Lost data after an update. Very disappointed.,email,
318,8258,,7,passive,Works fine but the mobile app needs improvement.,in_app,66.1
864,6715,,7,passive,,,1.9
1139,4036,,2,detractor,Support takes forever to respond to tickets.,sms,
442,6841,,8,passive,Solid tool but UI could be more intuitive.,sms,44.3
472,8324,,10,promoter,The Gantt charts are exactly what we needed.,,
1114,3435,,1,detractor,Admin settings are a nightmare to configure.,,
579,904,,8,passive,,in_app,70.1
204,1393,,7,passive,Good product but could use more integrations.,,
520,5990,,7,passive,"OK for basic project management, nothing special.",in_app,
870,7256,,9,promoter,Best project management tool we've used. Highly recommend.,,
240,1675,,10,promoter,The API is well-documented and easy to integrate with.,email,
995,533,,10,promoter,The Gantt charts are exactly what we needed.,in_app,
612,2880,,4,detractor,Support takes forever to respond to tickets.,,
588,3948,,9,promoter,"Great product, easy to use. Team adopted it quickly.",email,
392,439,,3,detractor,Bugs everywhere. Feels like we're beta testing.,,
653,1934,,1,detractor,Admin settings are a nightmare to configure.,in_app,28.8
108,1726,,10,promoter,Support team is incredibly responsive and helpful.,,38.3
202,6311,,10,promoter,Reporting features give us exactly the insights we need.,,5.7
356,1626,,8,passive,,sms,
812,2063,,5,detractor,Switched from competitor and regret it honestly.,,35.3
386,3307,,6,detractor,Admin settings are a nightmare to configure.,sms,
4,5136,,8,passive,Works fine but the mobile app needs improvement.,,
131,3427,,8,passive,"Some features feel half-baked, like time tracking.",email,
468,6438,,8,passive,,,
763,2155,,10,promoter,Love the AI task suggestions! Saves us hours every week.,email,
1060,2553,,7,passive,Works fine but the mobile app needs improvement.,,
913,2609,,9,promoter,"Onboarding was smooth, team was productive within a day.",sms,47.5
285,2108,,5,detractor,"Too slow, especially with large projects.",,
189,1825,,10,promoter,Best project management tool we've used. Highly recommend.,,
769,1408,,10,promoter,Custom workflows are a game changer for our process.,,12.1
113,5675,,6,detractor,The interface is confusing and hard to navigate.,sms,39.1
503,4678,,9,promoter,The Gantt charts are exactly what we needed.,in_app,
963,323,,6,detractor,Way too expensive for what it offers.,,1.9
947,7943,,3,detractor,The interface is confusing and hard to navigate.,in_app,
824,1691,,7,passive,"OK for basic project management, nothing special.",email,
157,7626,,6,detractor,Way too expensive for what it offers.,sms,
644,7503,,7,passive,Solid tool but UI could be more intuitive.,,23.5
1099,6037,,8,passive,"OK for basic project management, nothing special.",,
909,4592,,4,detractor,Way too expensive for what it offers.,sms,
409,5309,,8,passive,,in_app,39.8
902,4471,,6,detractor,Way too expensive for what it offers.,,37.6
903,301,,8,passive,,,
902,2551,,5,detractor,The interface is confusing and hard to navigate.,in_app,
443,4092,,8,passive,Solid tool but UI could be more intuitive.,,
1058,5308,,6,detractor,Support takes forever to respond to tickets.,,
23,4149,,10,promoter,"Onboarding was smooth, team was productive within a day.",email,
424,8282,,4,detractor,Mobile app crashes constantly on Android.,,67.6
607,4155,,9,promoter,Support team is incredibly responsive and helpful.,in_app,
983,3599,,8,passive,Would be better with better export options.,,
1111,6296,,0,detractor,Support takes forever to respond to tickets.,,55.3
336,5253,,7,passive,"Decent, but the pricing is a bit high for what you get.",,
666,5644,,6,detractor,The interface is confusing and hard to navigate.,email,23.0
742,7436,,2,detractor,Integration with our tools doesn't work properly.,email,
808,6198,,9,promoter,Best project management tool we've used. Highly recommend.,email,
806,2222,,7,passive,"Decent, but the pricing is a bit high for what you get.",in_app,58.0
734,316,,8,passive,"OK for basic project management, nothing special.",in_app,58.1
842,2416,,8,passive,Good product but could use more integrations.,email,42.2
776,561,,7,passive,"OK for basic project management, nothing special.",,
162,4922,,6,detractor,Bugs everywhere. Feels like we're beta testing.,in_app,
1083,7846,,8,passive,,,41.4
592,6670,,10,promoter,"Onboarding was smooth, team was productive within a day.",in_app,
57,6991,,6,detractor,Bugs everywhere. Feels like we're beta testing.,,
237,2587,,8,passive,"Decent, but the pricing is a bit high for what you get.",,
723,5151,,5,detractor,Integration with our tools doesn't work properly.,in_app,
547,2690,,8,passive,"Decent, but the pricing is a bit high for what you get.",in_app,
368,7842,,8,passive,"Some features feel half-baked, like time tracking.",email,
229,5291,,7,passive,Gets the job done but competitor X has better reporting.,,
45,347,,7,passive,Works fine but the mobile app needs improvement.,,
38,2935,,9,promoter,Love the AI task suggestions! Saves us hours every week.,,
630,5183,,0,detractor,Admin settings are a nightmare to configure.,email,
238,6208,,9,promoter,The API is well-documented and easy to integrate with.,,
933,1036,,8,passive,,sms,33.3
1055,3441,,10,promoter,Custom workflows are a game changer for our process.,email,
779,7713,,4,detractor,Admin settings are a nightmare to configure.,,
794,5573,,9,promoter,Reporting features give us exactly the insights we need.,,
1124,7012,,9,promoter,The API is well-documented and easy to integrate with.,,
896,565,,8,passive,Works fine but the mobile app needs improvement.,,
397,3114,,8,passive,,in_app,
274,4103,,8,passive,Would be better with better export options.,,71.2
862,6246,,7,passive,Good product but could use more integrations.,email,
1110,2067,,9,promoter,Custom workflows are a game changer for our process.,,
745,5440,,2,detractor,Admin settings are a nightmare to configure.,in_app,30.3
1081,91,,8,passive,,,
545,7232,,6,detractor,Bugs everywhere. Feels like we're beta testing.,,27.7
47,7760,,7,passive,Solid tool but UI could be more intuitive.,email,
1092,2509,,9,promoter,Support team is incredibly responsive and helpful.,email,
389,3449,,9,promoter,Love the AI task suggestions! Saves us hours every week.,,
891,2083,,8,passive,"Some features feel half-baked, like time tracking.",,58.9
259,2560,,9,promoter,"Onboarding was smooth, team was productive within a day.",,15.9
444,3540,,6,detractor,Integration with our tools doesn't work properly.,,53.2
879,4920,,5,detractor,The interface is confusing and hard to navigate.,,1.4
502,3179,,8,passive,"Decent, but the pricing is a bit high for what you get.",,
110,4813,,7,passive,Solid tool but UI could be more intuitive.,,
182,159,,6,detractor,Integration with our tools doesn't work properly.,,
450,2760,,9,promoter,Custom workflows are a game changer for our process.,,26.9
1098,2606,,4,detractor,Admin settings are a nightmare to configure.,email,
493,6343,,9,promoter,Love the AI task suggestions! Saves us hours every week.,,
652,2220,,8,passive,Would be better with better export options.,,37.1
277,2959,,7,passive,"OK for basic project management, nothing special.",in_app,64.5
509,4112,,4,detractor,Support takes forever to respond to tickets.,,
12,925,,4,detractor,Way too expensive for what it offers.,email,66.5
1178,1825,,5,detractor,Mobile app crashes constantly on Android.,,
276,4951,,9,promoter,Support team is incredibly responsive and helpful.,in_app,
619,7652,,6,detractor,Support takes forever to respond to tickets.,,24.1
862,7556,,8,passive,,sms,
1143,6417,,0,detractor,Switched from competitor and regret it honestly.,,1.1
965,5280,,5,detractor,Mobile app crashes constantly on Android.,,
771,2383,,8,passive,,email,
381,6218,,8,passive,"OK for basic project management, nothing special.",,43.8
549,3569,,6,detractor,"Too slow, especially with large projects.",sms,20.1
882,3905,,6,detractor,Bugs everywhere. Feels like we're beta testing.,,26.4
855,6079,,10,promoter,The API is well-documented and easy to integrate with.,,
550,3528,,6,detractor,"Too slow, especially with large projects.",,
376,6566,,5,detractor,Integration with our tools doesn't work properly.,,
243,7772,,7,passive,Solid tool but UI could be more intuitive.,in_app,
1012,176,,8,passive,,,
63,7021,,0,detractor,Way too expensive for what it offers.,sms,
974,6822,,8,passive,Would be better with better export options.,,
232,6301,,6,detractor,Lost data after an update. Very disappointed.,sms,
14,3776,,4,detractor,Switched from competitor and regret it honestly.,,3.0
1053,7830,,10,promoter,Custom workflows are a game changer for our process.,sms,
1010,1322,,9,promoter,Support team is incredibly responsive and helpful.,,
229,2171,,10,promoter,"Great product, easy to use. Team adopted it quickly.",email,
820,14,,9,promoter,The Gantt charts are exactly what we needed.,,
46,4224,,6,detractor,Support takes forever to respond to tickets.,,
821,5070,,0,detractor,Mobile app crashes constantly on Android.,in_app,
701,5803,,10,promoter,Love the AI task suggestions! Saves us hours every week.,in_app,46.6
759,4538,,0,detractor,Admin settings are a nightmare to configure.,in_app,
1027,8413,,10,promoter,Love the AI task suggestions! Saves us hours every week.,sms,
638,6641,,5,detractor,Admin settings are a nightmare to configure.,in_app,
675,2620,,8,passive,Would be better with better export options.,,
986,7238,,6,detractor,Integration with our tools doesn't work properly.,,
831,4288,,6,detractor,Way too expensive for what it offers.,in_app,
1203,2686,,6,detractor,Mobile app crashes constantly on Android.,sms,
899,1966,,8,passive,,,
614,6266,,2,detractor,Switched from competitor and regret it honestly.,,
603,1794,,7,passive,,,33.2
243,5020,,7,passive,"Decent, but the pricing is a bit high for what you get.",in_app,
766,7788,,8,passive,Would be better with better export options.,in_app,
595,7208,,3,detractor,Mobile app crashes constantly on Android.,email,36.9
1153,2389,,7,passive,"Decent, but the pricing is a bit high for what you get.",email,
90,4137,,8,passive,Gets the job done but competitor X has better reporting.,,53.9
813,6745,,7,passive,Works fine but the mobile app needs improvement.,email,56.4
728,5105,,5,detractor,Bugs everywhere. Feels like we're beta testing.,in_app,50.5
1101,4011,,10,promoter,The API is well-documented and easy to integrate with.,,
79,255,,9,promoter,Reporting features give us exactly the insights we need.,sms,
920,4385,,8,passive,Would be better with better export options.,,
688,7121,,9,promoter,The Gantt charts are exactly what we needed.,,6.6
163,5939,,8,passive,Gets the job done but competitor X has better reporting.,email,6.8
24,1116,,4,detractor,Mobile app crashes constantly on Android.,,29.1
1170,8148,,9,promoter,"Great product, easy to use. Team adopted it quickly.",,
1139,3504,,7,passive,"Decent, but the pricing is a bit high for what you get.",,
775,4222,,10,promoter,"Mobile app works great, can manage tasks on the go.",in_app,
215,3300,,7,passive,Good product but could use more integrations.,,
825,3089,,3,detractor,Switched from competitor and regret it honestly.,,21.3
1109,7087,,6,detractor,"Too slow, especially with large projects.",in_app,62.2
959,4270,,6,detractor,"Too slow, especially with large projects.",in_app,
91,1602,,10,promoter,Best project management tool we've used. Highly recommend.,,
346,495,,8,passive,"Decent, but the pricing is a bit high for what you get.",in_app,
30,4579,,10,promoter,Support team is incredibly responsive and helpful.,sms,
1202,6895,,7,passive,Good product but could use more integrations.,sms,59.1
116,2201,,8,passive,Would be better with better export options.,sms,
729,3253,,9,promoter,Custom workflows are a game changer for our process.,,
282,281,,8,passive,Would be better with better export options.,,
831,8139,,6,detractor,Way too expensive for what it offers.,,
1098,3350,,8,passive,"OK for basic project management, nothing special.",email,41.8
737,3695,,9,promoter,Support team is incredibly responsive and helpful.,,
135,8184,,5,detractor,Admin settings are a nightmare to configure.,,
1093,6119,,6,detractor,Switched from competitor and regret it honestly.,,20.6
296,4182,,8,passive,Gets the job done but competitor X has better reporting.,,22.0
285,7641,,8,passive,,,
54,560,,8,passive,Gets the job done but competitor X has better reporting.,,
1123,7451,,5,detractor,The interface is confusing and hard to navigate.,,
432,5,,7,passive,Solid tool but UI could be more intuitive.,,
100,3237,,8,passive,"OK for basic project management, nothing special.",,67.5
291,2181,,0,detractor,Lost data after an update. Very disappointed.,,
157,4188,,4,detractor,The interface is confusing and hard to navigate.,email,44.8
61,3289,,6,detractor,Integration with our tools doesn't work properly.,email,
288,6078,,7,passive,Works fine but the mobile app needs improvement.,in_app,54.5
713,7365,,8,passive,"Decent, but the pricing is a bit high for what you get.",,
713,691,,10,promoter,Custom workflows are a game changer for our process.,,
1197,5359,,8,passive,Would be better with better export options.,,25.6
639,6746,,5,detractor,"Too slow, especially with large projects.",,
1182,1132,,6,detractor,The interface is confusing and hard to navigate.,,
383,7644,,8,passive,,,38.8
415,7058,,6,detractor,Integration with our tools doesn't work properly.,,40.1
446,2767,,7,passive,"OK for basic project management, nothing special.",,35.6
1133,4030,,9,promoter,The Gantt charts are exactly what we needed.,,
631,257,,8,passive,Solid tool but UI could be more intuitive.,email,52.6
683,3196,,9,promoter,Best project management tool we've used. Highly recommend.,in_app,
302,4985,,6,detractor,Mobile app crashes constantly on Android.,email,
533,7617,,6,detractor,Lost data after an update. Very disappointed.,,69.3
834,1280,,5,detractor,Way too expensive for what it offers.,,18.0
1026,4841,,10,promoter,Support team is incredibly responsive and helpful.,email,
241,4138,,9,promoter,Love the AI task suggestions! Saves us hours every week.,,32.6
751,5405,,10,promoter,Best project management tool we've used. Highly recommend.,email,
637,3307,,6,detractor,Way too expensive for what it offers.,email,
507,480,,10,promoter,The Gantt charts are exactly what we needed.,,
445,6787,,7,passive,"Some features feel half-baked, like time tracking.",,
946,1689,,6,detractor,The interface is confusing and hard to navigate.,sms,9.0
751,7333,,2,detractor,Switched from competitor and regret it honestly.,,
718,2598,,7,passive,Gets the job done but competitor X has better reporting.,in_app,
1102,1555,,9,promoter,"Great product, easy to use. Team adopted it quickly.",,
889,6162,,10,promoter,The Gantt charts are exactly what we needed.,email,59.5
1004,1990,,7,passive,Works fine but the mobile app needs improvement.,sms,
923,3687,,6,detractor,Bugs everywhere. Feels like we're beta testing.,,
865,2363,,5,detractor,Mobile app crashes constantly on Android.,email,31.2
1042,5151,,8,passive,"Some features feel half-baked, like time tracking.",email,
466,6605,,2,detractor,Integration with our tools doesn't work properly.,,
723,3474,,8,passive,,,
174,8107,,10,promoter,Reporting features give us exactly the insights we need.,email,
88,4162,,10,promoter,"Great product, easy to use. Team adopted it quickly.",sms,
1160,1297,,9,promoter,Best project management tool we've used. Highly recommend.,sms,
630,6472,,10,promoter,The Gantt charts are exactly what we needed.,,
1180,8399,,7,passive,"Decent, but the pricing is a bit high for what you get.",email,
231,7147,,7,passive,Solid tool but UI could be more intuitive.,,
975,3941,,5,detractor,Support takes forever to respond to tickets.,in_app,23.5
1124,5242,,9,promoter,Reporting features give us exactly the insights we need.,,
997,3142,,4,detractor,Integration with our tools doesn't work properly.,sms,
870,1872,,7,passive,Solid tool but UI could be more intuitive.,,30.6
126,1452,,9,promoter,Love the AI task suggestions! Saves us hours every week.,,
661,7563,,10,promoter,The API is well-documented and easy to integrate with.,,69.7
218,3800,,8,passive,Works fine but the mobile app needs improvement.,sms,
312,8,,7,passive,,email,
245,7483,,8,passive,,in_app,16.1
79,7049,,6,detractor,Integration with our tools doesn't work properly.,,
637,1267,,8,passive,Would be better with better export options.,in_app,
487,5832,,6,detractor,"Too slow, especially with large projects.",sms,
874,5186,,10,promoter,"Mobile app works great, can manage tasks on the go.",,53.5
702,3002,,5,detractor,Lost data after an update. Very disappointed.,,43.2
191,2690,,3,detractor,Support takes forever to respond to tickets.,,33.7
293,5183,,8,passive,"Some features feel half-baked, like time tracking.",sms,
1002,1343,,8,passive,"Some features feel half-baked, like time tracking.",,
697,7126,,7,passive,Works fine but the mobile app needs improvement.,email,
589,5648,,10,promoter,Support team is incredibly responsive and helpful.,,
138,6841,,2,detractor,"Too slow, especially with large projects.",in_app,65.6
625,5830,,9,promoter,The Gantt charts are exactly what we needed.,sms,
760,7917,,2,detractor,"Too slow, especially with large projects.",,
176,2272,,9,promoter,Love the AI task suggestions! Saves us hours every week.,email,69.1
207,5942,,9,promoter,Love the AI task suggestions! Saves us hours every week.,,
