customer_id,company_name,industry,is_churned,plan_tier,mrr_usd,total_events,last_activity,avg_session_sec,unique_features,team_size,latest_nps,recency_days,R_score,F_score,V_score,rfv_total,segment
20,AcmeHQ,Real Estate,0,enterprise,82.5,38,2024-11-05 01:19:27,1746.0689655172414,5,1.0,6.0,513,1,2,4,7,🔴 High-Value Sleepers
21,NexusStack,Logistics,0,professional,39.0,44,2025-06-29 13:13:33,1710.2941176470588,4,52.0,8.0,277,2,3,3,8,🟠 At Risk
22,Onyx Analytics,Media,0,professional,49.17,42,2025-10-19 17:30:19,1984.75,4,10.0,10.0,165,4,3,4,11,🟢 Champions
23,KitePro,Legal,0,starter,15.83,44,2025-08-12 11:17:23,1878.0,7,9.0,9.0,233,2,3,2,7,🟠 At Risk
24,TidalStudio,Insurance,0,starter,15.83,32,2025-10-09 19:29:31,1961.9333333333334,4,53.0,7.0,175,4,1,2,7,🟡 New/Promising
25,PulseSolutions,Insurance,0,free,0.0,38,2025-06-14 17:38:39,1587.40625,4,3.0,2.0,292,1,2,1,4,⚪ Dormant/Lost
26,YieldAI,E-commerce,0,enterprise,99.0,40,2025-09-18 01:45:19,1916.4,7,2.0,7.0,196,3,2,4,9,🟡 New/Promising
27,WaveStack,Logistics,1,professional,32.5,43,2025-09-29 01:52:07,1694.8181818181818,2,40.0,6.0,185,3,3,3,9,🔵 Loyal Customers
28,Keen Software,Education,0,starter,19.0,39,2025-03-19 11:12:41,1699.1842105263158,5,2.0,1.0,379,1,2,3,6,🔴 High-Value Sleepers
29,QuestSystems,Education,0,professional,49.17,41,2025-10-01 19:48:22,1477.1764705882354,4,10.0,10.0,183,3,2,4,9,🟡 New/Promising
30,NexusVentures,Media,0,starter,12.0,29,2025-08-29 03:03:12,2107.5,2,32.0,8.0,216,3,1,2,6,🟡 New/Promising
31,VineSolutions,Education,0,professional,39.0,43,2025-07-03 16:50:52,1706.030303030303,4,3.0,,273,2,3,3,8,🟠 At Risk
32,Arc Stack,Real Estate,0,starter,15.83,26,2025-03-31 04:10:59,1652.5238095238096,6,2.0,5.0,367,1,1,2,4,⚪ Dormant/Lost
33,SageDev,Media,0,professional,59.0,32,2025-08-17 11:05:08,1660.44,2,1.0,4.0,228,2,1,4,7,🔴 High-Value Sleepers
34,JadeHQ,Legal,0,professional,33.15,39,2025-08-01 07:54:14,1635.3030303030303,4,36.0,7.0,244,2,2,3,7,🔴 High-Value Sleepers
35,PulseAnalytics,Telecommunications,0,starter,10.0,32,2025-10-11 23:33:36,1880.6666666666667,7,5.0,6.0,173,4,1,2,7,🟡 New/Promising
36,YieldHub,Legal,0,professional,59.0,41,2025-05-15 21:33:46,1683.3333333333333,4,3.0,9.0,322,1,2,4,7,🔴 High-Value Sleepers
37,Flux Labs,Manufacturing,0,professional,39.0,42,2024-09-08 02:42:25,1734.0645161290322,5,4.0,8.0,571,1,3,3,7,🟠 At Risk
38,FlowStack,Retail,0,enterprise,82.5,46,2025-07-26 12:44:58,1738.2702702702702,4,13.0,5.0,250,2,4,4,10,🟢 Champions
39,QuarkTech,Legal,0,free,0.0,41,2025-05-04 19:07:09,1700.2333333333333,2,12.0,7.0,333,1,2,1,4,⚪ Dormant/Lost
40,PulseDigital,Healthcare,0,starter,10.0,32,2025-07-16 11:02:07,1997.7916666666667,2,15.0,7.0,260,2,1,2,5,⚪ Dormant/Lost
41,TidalSystems,Telecommunications,0,starter,12.0,38,2025-10-06 16:25:00,1826.59375,3,5.0,7.0,178,4,2,2,8,🟡 New/Promising
42,KeenAI,Manufacturing,0,professional,49.17,29,2025-08-31 03:19:54,1585.64,2,25.0,8.0,214,3,1,4,8,🟡 New/Promising
43,TrekDigital,Legal,0,free,0.0,39,2025-09-22 09:07:12,1509.8709677419354,4,10.0,,192,3,2,1,6,🟡 New/Promising
44,Drift Ventures,Real Estate,0,free,0.0,41,2025-10-04 00:45:13,1689.5714285714287,6,18.0,8.0,180,4,2,1,7,🟡 New/Promising
45,JadeLabs,E-commerce,0,free,0.0,49,2025-03-03 03:53:33,1659.7179487179487,6,6.0,5.0,395,1,4,1,6,🟠 At Risk
46,SagePlatform,Real Estate,0,free,0.0,38,2025-07-15 12:12:02,1647.6666666666667,7,5.0,4.0,261,2,2,1,5,⚪ Dormant/Lost
47,UltraSystems,Insurance,0,starter,19.0,28,2025-10-06 09:02:19,1855.2857142857142,2,23.0,2.0,178,4,1,3,8,🟡 New/Promising
48,SyncPlatform,Education,1,enterprise,70.12,40,2025-10-14 13:45:48,1719.774193548387,2,2.0,0.0,170,4,2,4,10,🟢 Champions
49,EchoIO,Finance,0,free,0.0,39,2025-05-05 04:35:47,1939.9666666666667,2,5.0,4.0,332,1,2,1,4,⚪ Dormant/Lost
50,Warp Corp,Real Estate,0,free,0.0,43,2025-09-18 08:55:09,1787.5833333333333,6,3.0,7.0,196,3,3,1,7,🔵 Loyal Customers
51,WarpSoftware,Education,0,starter,15.83,51,2025-03-12 06:41:21,1895.4318181818182,6,9.0,10.0,386,1,4,2,7,🟠 At Risk
52,Orbit Analytics,Insurance,1,free,0.0,39,2025-09-16 11:04:56,1892.103448275862,8,47.0,,198,3,2,1,6,🟡 New/Promising
53,MistPro,Telecommunications,0,free,0.0,43,2025-05-30 01:36:08,1789.7714285714285,4,5.0,8.0,307,1,3,1,5,🟠 At Risk
54,Orbit Ops,Retail,0,free,0.0,38,2025-10-12 21:40:27,1603.0,4,41.0,5.0,172,4,2,1,7,🟡 New/Promising
55,LunaVentures,Retail,0,professional,31.2,36,2025-07-09 10:50:16,2047.5185185185185,7,10.0,2.0,267,2,1,3,6,🔴 High-Value Sleepers
56,Flow Works,Education,0,professional,59.0,30,2025-02-13 01:54:28,1541.32,5,4.0,9.0,413,1,1,4,6,🔴 High-Value Sleepers
57,OnyxHQ,E-commerce,0,professional,32.5,41,2024-04-15 18:50:11,1829.6969696969697,6,6.0,8.0,717,1,2,3,6,🔴 High-Value Sleepers
58,Hub HQ,Healthcare,0,starter,19.0,35,2025-10-11 08:47:26,1835.6296296296296,3,19.0,7.0,173,4,1,3,8,🟡 New/Promising
59,MistDev,Finance,0,starter,12.0,42,2025-04-29 15:14:26,1977.4193548387098,5,26.0,8.0,338,1,3,2,6,🟠 At Risk
60,JetHQ,Marketing,0,professional,59.0,40,2024-10-30 03:50:58,1802.3030303030303,4,4.0,10.0,519,1,2,4,7,🔴 High-Value Sleepers
61,UltraPro,Telecommunications,1,free,0.0,49,2025-10-08 07:15:18,1762.8095238095239,8,28.0,8.0,176,4,4,1,9,🔵 Loyal Customers
62,GridDev,Technology,0,starter,16.15,36,2024-12-03 08:34:14,1765.892857142857,6,29.0,7.0,485,1,1,3,5,🔴 High-Value Sleepers
63,UltraStack,Insurance,1,professional,39.0,51,2025-09-01 19:34:14,1708.9117647058824,7,9.0,6.0,213,3,4,3,10,🟢 Champions
64,CoreSolutions,Telecommunications,0,starter,10.0,46,2025-09-10 20:06:59,1788.0,8,5.0,10.0,204,3,4,2,9,🔵 Loyal Customers
65,Yield Group,Logistics,0,free,0.0,40,2025-07-31 17:33:09,1883.6571428571428,4,6.0,6.0,245,2,2,1,5,⚪ Dormant/Lost
66,EdgeHQ,Real Estate,0,free,0.0,50,2025-06-10 20:03:14,1728.4545454545455,5,4.0,3.0,296,1,4,1,6,🟠 At Risk
67,Quest Logic,Education,0,free,0.0,48,2025-10-15 03:57:57,1683.078947368421,5,4.0,8.0,169,4,4,1,9,🔵 Loyal Customers
68,Quark Ops,Insurance,1,enterprise,82.5,43,2025-07-17 16:10:31,2042.3030303030303,5,13.0,3.0,259,2,3,4,9,🟠 At Risk
69,Ion Dynamics,Telecommunications,0,free,0.0,42,2025-05-19 13:58:44,2000.0555555555557,6,1.0,9.0,318,1,3,1,5,🟠 At Risk
70,JetHub,Retail,1,professional,39.0,42,2025-10-26 19:31:46,1673.2058823529412,4,17.0,,158,4,3,3,10,🟢 Champions
71,LinkLogic,Marketing,0,enterprise,199.0,34,2025-10-19 10:57:09,1944.5172413793102,4,1.0,4.0,165,4,1,4,9,🟡 New/Promising
72,Cloud AI,Education,0,starter,12.0,45,2025-09-30 12:46:33,2031.4358974358975,5,14.0,9.0,184,3,3,2,8,🔵 Loyal Customers
73,LinkPro,Telecommunications,0,starter,9.6,36,2025-09-15 08:11:05,1647.2857142857142,4,7.0,10.0,199,3,1,2,6,🟡 New/Promising
74,GridOps,Telecommunications,0,starter,15.83,42,2025-10-08 19:04:59,2054.948717948718,3,28.0,,176,4,3,2,9,🔵 Loyal Customers
75,NovaTech,Media,1,free,0.0,30,2025-10-28 05:33:00,1552.3,3,6.0,5.0,156,4,1,1,6,🟡 New/Promising
76,Wave Platform,Real Estate,0,starter,10.0,35,2025-06-29 12:44:54,2029.96,3,2.0,7.0,277,2,1,2,5,⚪ Dormant/Lost
77,Nexus AI,Legal,0,professional,39.0,44,2025-09-01 04:06:57,2154.9411764705883,2,47.0,2.0,213,3,3,3,9,🔵 Loyal Customers
78,Rush Group,Logistics,0,professional,59.0,41,2025-05-08 05:36:47,1885.0294117647059,5,4.0,7.0,329,1,2,4,7,🔴 High-Value Sleepers
79,PeakStack,Media,1,professional,32.5,41,2025-08-27 18:04:11,1821.25,5,24.0,9.0,218,3,2,3,8,🟡 New/Promising
80,JetOps,Healthcare,0,professional,59.0,57,2025-06-27 11:24:28,1965.7555555555555,4,5.0,9.0,279,2,4,4,10,🟢 Champions
81,WaveOps,Manufacturing,0,professional,47.2,42,2025-08-30 11:36:54,1715.060606060606,9,44.0,10.0,215,3,3,3,9,🔵 Loyal Customers
82,Orbit Corp,Retail,0,professional,39.0,42,2025-10-15 23:41:17,1538.9714285714285,5,10.0,6.0,169,4,3,3,10,🟢 Champions
83,LunaDigital,Manufacturing,0,free,0.0,46,2025-04-26 18:54:49,1796.275,2,3.0,4.0,341,1,4,1,6,🟠 At Risk
84,ZealVentures,Telecommunications,0,free,0.0,36,2025-06-22 11:52:24,2049.6666666666665,2,3.0,0.0,284,2,1,1,4,⚪ Dormant/Lost
85,Rift Ops,Real Estate,0,free,0.0,40,2025-07-21 10:34:50,1840.3461538461538,5,13.0,7.0,255,2,2,1,5,⚪ Dormant/Lost
86,Flux Pro,Manufacturing,0,professional,35.1,50,2025-09-19 01:15:57,1746.5,7,1.0,6.0,195,3,4,3,10,🟢 Champions
87,UltraVentures,Manufacturing,0,starter,12.0,40,2025-09-19 15:14:58,1549.3870967741937,5,17.0,6.0,195,3,2,2,7,🟡 New/Promising
88,FlowCorp,E-commerce,1,free,0.0,23,2025-08-12 22:05:31,1858.7894736842106,4,15.0,10.0,233,2,1,1,4,⚪ Dormant/Lost
89,WavePro,Logistics,0,enterprise,61.88,36,2025-02-10 21:25:05,2036.5757575757575,3,50.0,,416,1,1,4,6,🔴 High-Value Sleepers
90,DriftHub,Real Estate,0,starter,19.0,41,2025-10-11 03:15:42,2314.757575757576,5,13.0,8.0,173,4,2,3,9,🟡 New/Promising
91,LinkAI,Healthcare,0,starter,19.0,32,2025-07-29 20:01:28,1609.8148148148148,3,1.0,0.0,247,2,1,3,6,🔴 High-Value Sleepers
92,DriftVentures,Insurance,0,free,0.0,33,2025-09-14 09:54:31,1918.1538461538462,7,14.0,7.0,200,3,1,1,5,🟡 New/Promising
93,TrekTech,Finance,0,professional,39.0,46,2025-06-13 04:52:06,1942.1714285714286,3,2.0,10.0,293,1,4,3,8,🟠 At Risk
94,OnyxStack,Marketing,1,free,0.0,39,2025-08-21 03:24:36,1882.9714285714285,7,5.0,7.0,224,3,2,1,6,🟡 New/Promising
95,PeakNet,Finance,0,professional,49.17,42,2025-05-24 06:31:56,2129.9310344827586,6,13.0,8.0,313,1,3,4,8,🟠 At Risk
96,PeakOps,Marketing,1,enterprise,99.0,45,2025-10-28 01:23:24,2007.9714285714285,5,4.0,,156,4,3,4,11,🟢 Champions
97,QuestWorks,Real Estate,0,starter,10.8,36,2025-09-15 15:04:33,1958.0714285714287,4,6.0,7.0,199,3,1,2,6,🟡 New/Promising
98,Vine HQ,E-commerce,0,starter,15.83,38,2025-09-21 03:40:01,1865.4117647058824,5,9.0,6.0,193,3,2,2,7,🟡 New/Promising
99,GlowDev,Finance,0,starter,19.0,38,2025-10-26 17:26:56,1427.8064516129032,3,22.0,,158,4,2,3,9,🟡 New/Promising
100,SyncTech,Education,0,starter,12.0,45,2025-10-14 01:13:20,1802.7941176470588,6,3.0,8.0,170,4,3,2,9,🔵 Loyal Customers
101,PulseLogic,Marketing,0,free,0.0,50,2025-09-30 16:11:42,1590.909090909091,7,1.0,7.0,184,3,4,1,8,🔵 Loyal Customers
102,Flow Labs,Education,1,starter,10.0,41,2025-10-03 03:37:43,2024.3142857142857,5,1.0,10.0,181,4,2,2,8,🟡 New/Promising
103,EdgeSystems,Consulting,0,starter,10.8,48,2025-08-29 10:21:44,1760.595238095238,7,9.0,8.0,216,3,4,2,9,🔵 Loyal Customers
104,Hive Dynamics,Media,0,professional,39.0,38,2024-06-13 15:18:19,1719.78125,3,33.0,7.0,658,1,2,3,6,🔴 High-Value Sleepers
105,UnitOps,Insurance,0,starter,19.0,44,2025-10-11 17:01:43,2044.8,6,12.0,6.0,173,4,3,3,10,🟢 Champions
106,OnyxSolutions,Healthcare,0,free,0.0,43,2025-09-12 19:30:11,1918.1944444444443,5,22.0,10.0,202,3,3,1,7,🔵 Loyal Customers
107,QuarkAI,E-commerce,0,starter,19.0,46,2025-10-17 02:43:20,1791.4054054054054,8,1.0,6.0,167,4,4,3,11,🟢 Champions
108,VertexSolutions,Consulting,1,starter,12.0,30,2025-09-01 00:44:49,1951.28,2,1.0,6.0,213,3,1,2,6,🟡 New/Promising
109,TidalHQ,Manufacturing,0,starter,15.83,30,2025-07-23 13:45:10,1791.2222222222222,3,4.0,9.0,253,2,1,2,5,⚪ Dormant/Lost
110,EdgeOps,Marketing,1,starter,10.0,48,2025-10-17 20:50:48,1863.1,7,12.0,3.0,167,4,4,2,10,🟢 Champions
111,XenonLogic,Technology,0,professional,49.17,39,2025-09-23 02:09:35,1745.3636363636363,4,15.0,10.0,191,3,2,4,9,🟡 New/Promising
112,Hive Logic,Telecommunications,0,enterprise,99.0,52,2025-04-20 01:12:14,1998.6756756756756,9,4.0,8.0,347,1,4,4,9,🟠 At Risk
113,CoreTech,Retail,0,professional,39.0,42,2025-09-04 15:06:37,1729.2727272727273,3,4.0,9.0,210,3,3,3,9,🔵 Loyal Customers
114,Meta Digital,E-commerce,1,enterprise,99.0,45,2025-10-22 04:10:41,1781.8484848484848,2,25.0,,162,4,3,4,11,🟢 Champions
115,HiveCorp,Retail,0,starter,15.83,41,2025-10-26 06:34:12,1788.9411764705883,2,3.0,9.0,158,4,2,2,8,🟡 New/Promising
116,BeamDev,Technology,0,starter,15.83,42,2025-06-24 03:53:57,1541.8064516129032,3,54.0,8.0,282,2,3,2,7,🟠 At Risk
117,Onyx Cloud,Real Estate,0,free,0.0,47,2025-10-23 00:26:09,1689.6341463414635,4,8.0,8.0,161,4,4,1,9,🔵 Loyal Customers
118,Peak Hub,Real Estate,0,starter,12.0,49,2025-08-01 22:59:04,1607.9,2,5.0,4.0,244,2,4,2,8,🟠 At Risk
119,EchoPlatform,Logistics,0,professional,39.0,43,2025-10-25 14:35:39,1748.4857142857143,4,7.0,7.0,159,4,3,3,10,🟢 Champions
120,UnitStudio,Finance,1,free,0.0,38,2025-09-17 07:38:56,1936.8,8,43.0,7.0,197,3,2,1,6,🟡 New/Promising
121,KeenPro,Insurance,0,professional,49.17,40,2025-09-16 16:38:19,1812.0,6,2.0,6.0,198,3,2,4,9,🟡 New/Promising
122,Sync IO,Real Estate,0,starter,10.0,33,2025-01-08 11:32:37,1594.9583333333333,5,34.0,10.0,449,1,1,2,4,⚪ Dormant/Lost
123,Jade Software,Marketing,0,starter,10.0,41,2025-06-18 22:29:15,1737.2432432432433,5,14.0,5.0,288,2,2,2,6,🟤 Need Attention
124,XenonWorks,Marketing,0,professional,39.0,34,2025-10-03 18:50:41,1704.2413793103449,2,25.0,8.0,181,4,1,3,8,🟡 New/Promising
125,UltraGroup,Manufacturing,0,professional,29.25,55,2025-08-04 05:55:41,1792.4222222222222,7,15.0,7.0,241,2,4,3,9,🟠 At Risk
126,RiftSystems,Real Estate,0,enterprise,99.0,44,2025-07-12 14:18:37,1788.0,7,6.0,9.0,264,2,3,4,9,🟠 At Risk
127,Onyx Pro,Real Estate,0,professional,49.17,46,2025-03-21 11:10:42,2054.3513513513512,6,49.0,4.0,377,1,4,4,9,🟠 At Risk
128,GlowHub,Consulting,0,starter,8.5,51,2025-09-06 07:09:33,1800.85,5,52.0,10.0,208,3,4,1,8,🔵 Loyal Customers
129,IrisWorks,Logistics,0,professional,32.5,42,2025-10-30 16:22:54,1497.2424242424242,7,16.0,9.0,154,4,3,3,10,🟢 Champions
130,ZealCloud,Legal,0,starter,19.0,48,2025-05-03 10:54:35,1779.139534883721,8,8.0,,334,1,4,3,8,🟠 At Risk
131,Sync Net,Healthcare,0,enterprise,82.5,38,2025-07-06 14:39:39,1890.6774193548388,4,1.0,7.0,270,2,2,4,8,🔴 High-Value Sleepers
132,PulseAI,Media,1,starter,12.0,37,2025-09-15 17:47:41,1973.448275862069,6,4.0,7.0,199,3,2,2,7,🟡 New/Promising
133,Sync Works,Education,0,starter,9.6,49,2025-08-25 22:22:30,2084.102564102564,3,18.0,0.0,220,3,4,2,9,🔵 Loyal Customers
134,Vine Cloud,Telecommunications,0,professional,39.0,50,2025-09-17 23:53:58,1989.093023255814,6,4.0,,196,3,4,3,10,🟢 Champions
135,RushSoftware,Marketing,0,free,0.0,43,2025-10-30 10:54:06,1882.5151515151515,2,2.0,7.0,154,4,3,1,8,🔵 Loyal Customers
136,Ion IO,Marketing,0,starter,12.0,41,2025-09-12 03:44:09,1872.3125,3,6.0,9.0,202,3,2,2,7,🟡 New/Promising
137,Tidal Solutions,Manufacturing,0,professional,39.0,39,2025-10-12 11:01:52,1311.7241379310344,7,24.0,7.0,172,4,2,3,9,🟡 New/Promising
138,ArcNet,Consulting,0,starter,19.0,35,2025-05-25 09:46:34,1823.0,0,44.0,1.0,312,1,1,3,5,🔴 High-Value Sleepers
139,DataDynamics,E-commerce,0,professional,44.25,39,2025-05-21 17:23:06,1622.5714285714287,3,13.0,0.0,316,1,2,3,6,🔴 High-Value Sleepers
140,DriftDigital,Consulting,1,professional,39.0,39,2025-10-26 13:41:18,1731.2121212121212,6,4.0,,158,4,2,3,9,🟡 New/Promising
141,IrisAI,Healthcare,0,professional,59.0,46,2025-07-15 19:19:44,1950.8648648648648,7,7.0,,261,2,4,4,10,🟢 Champions
142,YieldTech,Logistics,0,professional,49.17,49,2025-10-20 07:56:33,2065.846153846154,4,24.0,8.0,164,4,4,4,12,🟢 Champions
143,IrisCorp,Retail,0,starter,10.8,41,2025-08-24 14:20:12,1869.111111111111,3,4.0,9.0,221,3,3,2,8,🔵 Loyal Customers
144,Mist AI,Consulting,0,enterprise,82.5,53,2025-07-12 12:27:04,1921.8333333333333,2,14.0,8.0,264,2,4,4,10,🟢 Champions
145,Unit Ventures,Marketing,0,professional,39.0,39,2025-09-28 22:05:41,1921.4117647058824,5,5.0,9.0,186,3,2,3,8,🟡 New/Promising
146,OnyxOps,Consulting,0,professional,39.0,36,2025-07-23 20:48:31,1801.391304347826,2,5.0,7.0,253,2,1,3,6,🔴 High-Value Sleepers
147,PulsePlatform,Legal,0,starter,10.0,42,2025-08-06 22:52:04,2025.3823529411766,7,1.0,7.0,239,2,3,2,7,🟠 At Risk
148,XenonTech,Retail,0,professional,53.1,34,2025-05-31 01:59:19,1880.0344827586207,2,4.0,10.0,306,1,1,4,6,🔴 High-Value Sleepers
149,EchoSoftware,Marketing,0,free,0.0,40,2025-04-29 16:17:51,1508.3235294117646,4,3.0,1.0,338,1,2,1,4,⚪ Dormant/Lost
150,IrisStack,Education,0,starter,14.25,41,2025-09-27 20:37:39,1653.1,4,3.0,7.0,187,3,3,2,8,🔵 Loyal Customers
151,Jade Ventures,Real Estate,0,starter,12.0,34,2025-08-28 13:27:30,1538.48,3,26.0,6.0,217,3,1,2,6,🟡 New/Promising
152,QuarkHub,Legal,0,starter,10.8,35,2025-09-30 06:51:00,1563.142857142857,2,20.0,9.0,184,3,1,2,6,🟡 New/Promising
153,HiveAI,Healthcare,1,starter,9.0,45,2025-06-16 11:42:59,1733.4571428571428,5,47.0,8.0,290,2,3,2,7,🟠 At Risk
154,Iris Dynamics,Manufacturing,0,starter,10.0,50,2024-08-22 15:04:18,1765.3488372093022,7,2.0,7.0,588,1,4,2,7,🟠 At Risk
155,GridSystems,E-commerce,0,free,0.0,36,2025-08-25 06:25:15,1928.2222222222222,5,6.0,0.0,220,3,1,1,5,🟡 New/Promising
156,TidalOps,Healthcare,1,free,0.0,36,2025-02-15 09:11:03,1691.7666666666667,3,11.0,8.0,411,1,1,1,3,⚪ Dormant/Lost
157,KeenSystems,Telecommunications,0,free,0.0,44,2025-07-02 13:30:00,1657.4,4,4.0,8.0,274,2,3,1,6,🟠 At Risk
158,Nova Ventures,Finance,0,starter,12.67,36,2025-03-15 08:34:32,1601.774193548387,5,60.0,7.0,383,1,1,2,4,⚪ Dormant/Lost
159,Vine Studio,Technology,0,enterprise,89.1,51,2025-05-19 00:34:27,1910.6666666666667,4,2.0,0.0,318,1,4,4,9,🟠 At Risk
160,FluxPlatform,Manufacturing,0,free,0.0,57,2025-07-14 22:25:24,1483.8048780487804,6,4.0,9.0,262,2,4,1,7,🟠 At Risk
161,VineLogic,Healthcare,0,starter,7.5,35,2025-09-13 18:24:04,1594.2333333333333,6,6.0,10.0,201,3,1,1,5,🟡 New/Promising
162,FlowStudio,Real Estate,0,starter,10.0,48,2025-06-04 13:25:53,1740.15,5,3.0,8.0,302,1,4,2,7,🟠 At Risk
163,Rush Cloud,Education,0,free,0.0,47,2025-10-06 05:31:08,1948.5,3,10.0,10.0,178,4,4,1,9,🔵 Loyal Customers
164,Acme Logic,Marketing,0,professional,36.88,37,2025-08-23 05:36:25,2125.451612903226,1,54.0,,222,3,2,3,8,🟡 New/Promising
165,Zen Works,Education,0,free,0.0,39,2025-07-05 11:39:38,1962.75,3,14.0,7.0,271,2,2,1,5,⚪ Dormant/Lost
166,Zeal Dynamics,Technology,0,free,0.0,38,2025-05-12 20:26:20,1665.5882352941176,4,27.0,6.0,325,1,2,1,4,⚪ Dormant/Lost
167,Quest Digital,Legal,0,free,0.0,42,2025-09-22 18:23:18,1694.3235294117646,6,5.0,1.0,192,3,3,1,7,🔵 Loyal Customers
168,XenonNet,Media,1,professional,44.25,32,2025-08-01 12:46:13,1945.5454545454545,4,6.0,8.0,244,2,1,3,6,🔴 High-Value Sleepers
169,Quark Platform,Media,0,free,0.0,48,2025-09-11 20:04:28,1889.2564102564102,7,27.0,7.0,203,3,4,1,8,🔵 Loyal Customers
170,WaveLabs,Education,0,free,0.0,33,2024-09-04 12:16:53,1822.5333333333333,4,15.0,6.0,575,1,1,1,3,⚪ Dormant/Lost
171,UnitNet,Healthcare,0,starter,10.0,36,2024-12-18 22:23:38,1945.2692307692307,5,6.0,10.0,470,1,1,2,4,⚪ Dormant/Lost
172,JadeSolutions,Manufacturing,0,free,0.0,47,2025-06-02 03:40:22,1884.878048780488,5,15.0,7.0,304,1,4,1,6,🟠 At Risk
173,Rush Hub,Legal,1,free,0.0,36,2025-04-25 20:58:00,2005.0384615384614,6,26.0,10.0,342,1,1,1,3,⚪ Dormant/Lost
174,NexusLogic,Marketing,1,professional,59.0,34,2025-06-10 06:04:29,1961.1923076923076,6,5.0,7.0,296,1,1,4,6,🔴 High-Value Sleepers
175,Yield Corp,Real Estate,0,free,0.0,42,2025-09-04 08:40:35,1981.1944444444443,7,3.0,7.0,210,3,3,1,7,🔵 Loyal Customers
176,MetaLogic,Media,0,enterprise,74.25,30,2025-10-05 20:20:43,1971.0,4,10.0,8.0,179,4,1,4,9,🟡 New/Promising
177,Iris Cloud,Finance,0,starter,19.0,32,2025-07-16 08:52:11,1379.6,2,27.0,3.0,260,2,1,3,6,🔴 High-Value Sleepers
178,WarpPro,E-commerce,0,free,0.0,55,2025-09-22 11:02:01,1857.7567567567567,6,6.0,2.0,192,3,4,1,8,🔵 Loyal Customers
179,Vine Ventures,Legal,1,professional,32.5,46,2025-07-31 15:45:42,1533.4444444444443,5,1.0,9.0,245,2,4,3,9,🟠 At Risk
180,Rush Dev,Telecommunications,0,enterprise,99.0,39,2025-09-04 02:26:25,2390.84375,6,25.0,7.0,210,3,2,4,9,🟡 New/Promising
